Date,Product,Lot,MDL,MDA,MDB,TDL,TDA,TDB,STR,Metal
3/24/2021,BK012,12450,-0.16,-0.05,-0.29,-0.11,0.06,0.01,100.54,200
5/4/2021,BK012,15090,-0.07,0.13,-0.01,-0.38,-0.02,-0.27,102.36,180
5/4/2021,BK012,15129,-0.2,0.13,0.1,0.13,-0.03,-0.25,99.03,210
5/3/2021,BK012,15130,-0.1,0.16,0.12,-0.3,0.02,-0.13,101.7,170
4/24/2021,BK012,15621,-0.05,-0.06,-0.15,0.3,-0.02,-0.12,98.16,190
5/14/2021,BK012,15622,-0.15,0.04,0.02,2.51,0.02,-0.17,84.7,200
5/13/2021,BK012,15623,-0.09,-0.09,-0.2,-0.08,0.03,0.04,100.45,210
5/17/2021,BK012,15624,0,-0.11,-0.25,-0.15,0.01,0.05,100.96,270
4/24/2021,BK012,15786,-0.22,-0.18,-0.43,-0.59,0.01,-0.11,104.02,270
5/17/2021,BK012,15879,-0.07,-0.07,-0.18,0.11,0.16,0.28,98.7,230
5/17/2021,BK012,15880,-0.14,-0.12,-0.31,-0.12,0.02,-0.07,100.77,250
5/21/2021,BK012,15881,0.07,-0.06,-0.08,-0.42,-0.07,-0.13,103.17,220
