Date,Product,Lot,MDL,MDA,MDB,TDL,TDA,TDB,STR
12/31/2021,BL008,31558,-0.03,0.97,-0.81,-0.27,0.1,-0.55,102.74
12/31/2021,BL008,31559,-0.28,0.78,-0.15,-0.12,0.07,-0.39,101.24
1/10/2022,BL008,31636,-0.32,0.35,0.18,0.02,0.07,-0.18,99.83
1/14/2022,BL008,31637,0.08,1.12,-1.25,0.02,0.08,-0.18,99.74
1/14/2022,BL008,31778,-0.12,-0.18,0.4,-0.08,-0.04,-0.09,100.77
1/13/2022,BL008,32477,-0.03,1.08,-1.06,-0.14,0.05,-0.38,101.43
1/14/2022,BL008,32483,-0.05,0.91,-0.94,-0.17,0.05,-0.37,101.72
1/14/2022,BL008,32596,-0.21,0.22,0.24,-0.14,0.02,-0.25,101.37
1/14/2022,BL008,32597,-0.33,0.46,-0.08,-0.34,0.02,-0.62,103.48
1/29/2022,BL008,32719,0,0.37,-0.38,-0.23,0.03,-0.35,102.28
2/1/2022,BL008,32720,0.03,0.96,-0.97,-0.15,0.06,-0.39,101.51
2/1/2022,BL008,32900,0.57,-7.03,6.81,-0.39,-0.56,1.33,103.04
2/3/2022,BL008,33135,0.2,0.57,-0.86,-0.53,-0.05,-0.71,105.55
2/3/2022,BL008,33136,0.34,1.15,-1.5,-0.5,0.02,-0.84,105.24
2/8/2022,BL008,33238,0.05,0.72,-0.88,-0.18,0.05,-0.3,101.76
2/4/2022,BL008,33239,0.2,0.42,-0.64,-0.41,0,-0.64,104
2/4/2022,BL008,33240,-0.09,1.18,-0.92,-0.25,0.11,-0.44,102.47
2/3/2022,BL008,33968,0.56,1.2,-2.26,-0.46,-0.01,-0.7,104.83
2/16/2022,BL008,34335,-0.07,-0.28,0.42,-0.4,0.01,-0.41,104.01
3/8/2022,BL008,34561,0.32,0.78,-1.39,-0.12,0.04,-0.27,101.13
3/15/2022,BL008,34562,0.16,1.13,-1.38,-0.27,0.14,-0.42,102.57
3/8/2022,BL008,34563,-0.13,-0.03,0.24,0.05,-0.04,-0.04,99.54
3/18/2022,BL008,34564,0.34,1.16,-1.62,-0.11,0.02,-0.38,101.29
3/8/2022,BL008,34565,0.21,0.82,-1.23,0.1,0.02,-0.03,99.1
3/18/2022,BL008,34566,0.15,1.27,-1.52,-0.07,0.08,-0.4,100.85
3/8/2022,BL008,34763,-0.18,0.65,-0.21,-0.09,0.07,-0.22,100.99
3/22/2022,BL008,34823,-0.03,0.87,-0.72,-0.04,0.08,-0.25,100.41
3/23/2022,BL008,34825,0.32,1.3,-1.9,-0.12,0.08,-0.39,101.23
3/24/2022,BL008,35060,0.14,0.94,-1.33,-0.14,0.1,-0.35,101.41
3/24/2022,BL008,35061,0.15,1.07,-1.34,-0.01,0.1,-0.17,100.15
3/26/2022,BL008,35380,-0.18,0.44,0.12,-0.25,-0.06,-0.38,102.46
3/26/2022,BL008,35381,-0.14,0.59,-0.18,-0.28,0.05,-0.38,102.74
3/22/2022,BL008,35617,-0.43,-0.58,1.24,-0.19,-0.01,-0.03,101.9
3/24/2022,BL008,35806,-0.19,0.95,-0.38,-0.18,0.14,-0.35,101.72
3/27/2022,BL008,35812,0.11,0.92,-1.12,-0.2,0.05,-0.29,101.92
3/9/2022,BL008,36000,0.1,0.66,-0.85,-0.65,-0.1,-1.06,107.12
3/9/2022,BL008,36001,0.35,1.19,-1.97,0.04,0.06,-0.09,99.55
3/21/2022,BL008,36774,-0.11,-3.04,2.93,-0.58,-0.41,0.08,105.79
3/26/2022,BL008,37005,0.02,1.12,-1.13,-0.22,0.1,-0.41,102.19
3/27/2022,BL008,37007,-0.01,0.88,-0.74,-0.32,0.06,-0.26,102.96
